"freq"	"ch 1"
1347.0	-147.37
1348.0	-157.96
1349.0	-150.51
1350.0	-150.93
1351.0	-160.63
1352.0	-149.99
1353.0	-152.17
1354.0	-154.9
1355.0	-157.76
1356.0	-159.83
1357.0	-154.33
1358.0	-155.59
1359.0	-160.92
1360.0	-154.64
1361.0	-152.78
1362.0	-148.7
1363.0	-146.78
1364.0	-147.81
1365.0	-146.18
1366.0	-146.19
1367.0	-155.63
1368.0	-183.82
1369.0	-162.93
1370.0	-155.6
1371.0	-149.26
1372.0	-145.94
1373.0	-145.58
1374.0	-151.53
1375.0	-151.6
1376.0	-150.91
1377.0	-151.12
1378.0	-149.58
1379.0	-151.64
1380.0	-149.46
1381.0	-147.6
1382.0	-147.79
1383.0	-147.59
1384.0	-148.29
1385.0	-153.4
1386.0	-146.37
1387.0	-145.34
1388.0	-144.33
1389.0	-145.38
1390.0	-148.2
1391.0	-146.74
1392.0	-146.04
1393.0	-148.84
1394.0	-160.53
1395.0	-164.91
1396.0	-154.88
1397.0	-156.41
1398.0	-154.78
1399.0	-153.1
1400.0	-152.35
1401.0	-150.67
1402.0	-152.33
1403.0	-150.16
1404.0	-150.02
1405.0	-153.56
1406.0	-157.17
1407.0	-153.16
1408.0	-154.1
1409.0	-156.11
1410.0	-150.23
1411.0	-153.97
1412.0	-150.19
1413.0	-146.25
1414.0	-149.12
1415.0	-156.63
1416.0	-155.77
1417.0	-150.47
1418.0	-150.53
1419.0	-162.39
1420.0	-150.69
1421.0	-152.69
1422.0	-152.77
1423.0	-152.39
1424.0	-160.08
1425.0	-154.27
1426.0	-149.76
1427.0	-154.88
1428.0	-152.27
1429.0	-154.93
1430.0	-147.8
1431.0	-152.14
1432.0	-151.76
1433.0	-151.86
1434.0	-149.21
1435.0	-155.43
1436.0	-152.95
1437.0	-153.14
1438.0	-163.14
1439.0	-159.5
1440.0	-151.72
1441.0	-150.78
1442.0	-151.49
1443.0	-153.6
1444.0	-146.79
1445.0	-147.61
1446.0	-152.99
1447.0	-161.34
1448.0	-148.65
1449.0	-147.71
1450.0	-149.99
1451.0	-153.06
1452.0	-155.52
1453.0	-165.42
1454.0	-161.61
1455.0	-159.51
1456.0	-157.86
1457.0	-166.15
1458.0	-163.01
1459.0	-163.91
1460.0	-156.55
1461.0	-156.85
1462.0	-165.21
1463.0	-160.51
1464.0	-164.15
1465.0	-150.38
1466.0	-150.24
1467.0	-152.54
1468.0	-152.6
1469.0	-172.34
1470.0	-161.03
1471.0	-151.79
1472.0	-155.81
1473.0	-168.65
1474.0	-153.55
1475.0	-153.9
1476.0	-149.5
1477.0	-149.93
1478.0	-149.55
1479.0	-150.19
1480.0	-148.8
1481.0	-152.23
1482.0	-157.35
1483.0	-148.36
1484.0	-146.73
1485.0	-155.02
1486.0	-154.9
1487.0	-150.74
1488.0	-154.52
1489.0	-151.47
1490.0	-149.58
1491.0	-146.89
